Mandante,Placar,Visitante,Ano
Criciúma,1–1,FOR,2024
Criciúma,0–1,GRE,2024
Criciúma,1–1,INT,2024
Criciúma,1–1,JUV,2024
Criciúma,1–2,PAL,2024
Criciúma,1–0,RBB,2024
Criciúma,1–1,SPA,2024
Criciúma,2–2,VAS,2024
Criciúma,0–1,VIT,2024
Cruzeiro,2–0,ATP,2024
Cruzeiro,3–1,ATG,2024
Cruzeiro,0–0,ATM,2024
Cruzeiro,1–1,BAH,2024
Cruzeiro,3–2,BOT,2024
Cruzeiro,3–0,COR,2024
Cruzeiro,2–1,CRI,2024
Cruzeiro,2–1,CUI,2024
Cruzeiro,0–1,FLA,2024
Cruzeiro,2–0,FLU,2024
Cruzeiro,1–2,FOR,2024
Cruzeiro,1–1,GRE,2024
Cruzeiro,0–0,INT,2024
Cruzeiro,2–0,JUV,2024
Cruzeiro,1–2,PAL,2024
Cruzeiro,2–1,RBB,2024
Cruzeiro,0–1,SPA,2024
Cruzeiro,1–1,VAS,2024
Cruzeiro,3–1,VIT,2024
Cuiabá,1–2,ATP,2024
Cuiabá,0–0,ATG,2024
Cuiabá,0–3,ATM,2024
Cuiabá,1–2,BAH,2024
Cuiabá,1–2,BOT,2024
Cuiabá,0–1,COR,2024
Cuiabá,2–1,CRI,2024
Cuiabá,0–0,CRU,2024
Cuiabá,1–2,FLA,2024
Cuiabá,0–1,FLU,2024
Cuiabá,5–0,FOR,2024
Cuiabá,1–3,GRE,2024
Cuiabá,0–1,INT,2024
Cuiabá,0–0,JUV,2024
Cuiabá,0–2,PAL,2024
Cuiabá,1–1,RBB,2024
Cuiabá,2–0,SPA,2024
Cuiabá,1–2,VAS,2024
Cuiabá,0–0,VIT,2024
Flamengo,1–0,ATP,2024
Flamengo,2–0,ATG,2024
Flamengo,0–0,ATM,2024
Flamengo,2–1,BAH,2024
Flamengo,0–2,BOT,2024
Flamengo,2–0,COR,2024
Flamengo,2–1,CRI,2024
Flamengo,2–1,CRU,2024
Flamengo,1–1,CUI,2024
Flamengo,0–2,FLU,2024
Flamengo,1–2,FOR,2024
Flamengo,2–1,GRE,2024
Flamengo,3–2,INT,2024
Flamengo,4–2,JUV,2024
Flamengo,1–1,PAL,2024
Flamengo,2–1,RBB,2024
Flamengo,2–1,SPA,2024
Flamengo,1–1,VAS,2024
Flamengo,2–2,VIT,2024
Fluminense,1–0,ATP,2024
Fluminense,1–2,ATG,2024
Fluminense,2–2,ATM,2024
Fluminense,1–0,BAH,2024
Fluminense,0–1,BOT,2024
Fluminense,0–0,COR,2024
Fluminense,0–0,CRI,2024
Fluminense,1–0,CRU,2024
Fluminense,1–0,CUI,2024
Fluminense,0–1,FLA,2024
Fluminense,2–2,FOR,2024
Fluminense,2–2,GRE,2024
Fluminense,1–1,INT,2024
Fluminense,1–1,JUV,2024
Fluminense,1–0,PAL,2024
Fluminense,2–2,RBB,2024
Fluminense,2–0,SPA,2024
Fluminense,2–1,VAS,2024
Fluminense,0–1,VIT,2024
Fortaleza,1–0,ATP,2024
Fortaleza,3–1,ATG,2024
Fortaleza,1–1,ATM,2024
Fortaleza,4–1,BAH,2024
Fortaleza,1–1,BOT,2024
Fortaleza,1–0,COR,2024
Fortaleza,1–0,CRI,2024
Fortaleza,1–1,CRU,2024
Fortaleza,1–0,CUI,2024
Fortaleza,0–0,FLA,2024
Fortaleza,1–0,FLU,2024
